location,name,freq,weighting,n_factors,date,ret
per,accruals,monthly,vw_cap,6,2024-02-29,0.00988806359881684
per,accruals,monthly,vw_cap,6,2024-03-31,-0.0122382934312701
per,accruals,monthly,vw_cap,6,2024-04-30,0.0168672743935364
per,accruals,monthly,vw_cap,6,2024-05-31,0.00671733202339835
per,accruals,monthly,vw_cap,6,2024-06-30,-0.0118246027910099
per,accruals,monthly,vw_cap,6,2024-07-31,-0.0167871592339719
per,accruals,monthly,vw_cap,6,2024-08-31,-0.0248625194793683
per,accruals,monthly,vw_cap,6,2024-09-30,-0.00610658842734091
per,accruals,monthly,vw_cap,6,2024-10-31,-0.0128108091052058
per,accruals,monthly,vw_cap,6,2024-11-30,-0.0110950033566586
per,accruals,monthly,vw_cap,6,2024-12-31,0.0332493788252227
per,debt_issuance,monthly,vw_cap,3,2005-05-31,0.0298279699526684
per,debt_issuance,monthly,vw_cap,4,2006-07-31,0.101711996946493
per,debt_issuance,monthly,vw_cap,4,2006-08-31,-0.0255604429242218
per,debt_issuance,monthly,vw_cap,4,2006-09-30,-0.0523678156865894
per,debt_issuance,monthly,vw_cap,4,2006-10-31,-0.00599438861428128
per,debt_issuance,monthly,vw_cap,4,2006-11-30,0.0155085079391984
per,debt_issuance,monthly,vw_cap,4,2006-12-31,0.0384009434253507
per,debt_issuance,monthly,vw_cap,4,2007-01-31,0.0030567000651493
per,debt_issuance,monthly,vw_cap,4,2007-02-28,0.0083419128912591
per,debt_issuance,monthly,vw_cap,6,2007-03-31,-0.0270521117976096
per,debt_issuance,monthly,vw_cap,6,2007-04-30,-0.0311898912024134
per,debt_issuance,monthly,vw_cap,7,2007-05-31,0.137885946199398
per,debt_issuance,monthly,vw_cap,7,2007-06-30,0.0042343933966659
per,debt_issuance,monthly,vw_cap,7,2007-07-31,-0.012704724892826
per,debt_issuance,monthly,vw_cap,7,2007-08-31,-0.00314837909866022
per,debt_issuance,monthly,vw_cap,7,2007-09-30,-0.00587423199942722
per,debt_issuance,monthly,vw_cap,7,2007-10-31,-0.00139004494115856
per,debt_issuance,monthly,vw_cap,7,2007-11-30,-0.0313425773228631
per,debt_issuance,monthly,vw_cap,7,2007-12-31,-0.0606314977514986
per,debt_issuance,monthly,vw_cap,7,2008-01-31,0.0644021702986743
per,debt_issuance,monthly,vw_cap,7,2008-02-29,0.0505938482649751
per,debt_issuance,monthly,vw_cap,7,2008-03-31,-0.0283959504624574
per,debt_issuance,monthly,vw_cap,7,2008-04-30,-0.0444594680543159
per,debt_issuance,monthly,vw_cap,7,2008-05-31,-0.00344847389433268
per,debt_issuance,monthly,vw_cap,7,2008-06-30,0.0138448862699867
per,debt_issuance,monthly,vw_cap,7,2008-07-31,0.00114223603243116
per,debt_issuance,monthly,vw_cap,7,2008-08-31,0.010223654107513
per,debt_issuance,monthly,vw_cap,7,2008-09-30,-0.0507405979655114
per,debt_issuance,monthly,vw_cap,7,2008-10-31,-0.0449667732253625
per,debt_issuance,monthly,vw_cap,7,2008-11-30,-0.0483996906396509
per,debt_issuance,monthly,vw_cap,7,2008-12-31,-0.0386026203660925
per,debt_issuance,monthly,vw_cap,7,2009-01-31,0.00861503195590155
per,debt_issuance,monthly,vw_cap,7,2009-02-28,0.0184807187935308
per,debt_issuance,monthly,vw_cap,7,2009-03-31,0.0545278245453707
per,debt_issuance,monthly,vw_cap,7,2009-04-30,0.0377468173843304
per,debt_issuance,monthly,vw_cap,7,2009-05-31,-0.0711136875279646
per,debt_issuance,monthly,vw_cap,7,2009-06-30,0.0300954730688266
per,debt_issuance,monthly,vw_cap,7,2009-07-31,0.0438807245308829
per,debt_issuance,monthly,vw_cap,7,2009-08-31,0.0132454200599029
per,debt_issuance,monthly,vw_cap,7,2009-09-30,-0.102528798701762
per,debt_issuance,monthly,vw_cap,7,2009-10-31,0.0217712952742196
per,debt_issuance,monthly,vw_cap,7,2009-11-30,-0.0122597995536648
per,debt_issuance,monthly,vw_cap,7,2009-12-31,0.00539232966893768
per,debt_issuance,monthly,vw_cap,7,2010-01-31,-0.0167259504695328
per,debt_issuance,monthly,vw_cap,7,2010-02-28,-0.0432566987217883
per,debt_issuance,monthly,vw_cap,7,2010-03-31,0.0211706120574823
per,debt_issuance,monthly,vw_cap,7,2010-04-30,0.00388693547896529
per,debt_issuance,monthly,vw_cap,7,2010-05-31,-0.0124854290242983
per,debt_issuance,monthly,vw_cap,7,2010-06-30,0.0154859811038531
per,debt_issuance,monthly,vw_cap,7,2010-07-31,0.013776961872798
per,debt_issuance,monthly,vw_cap,7,2010-08-31,0.00694666623883267
per,debt_issuance,monthly,vw_cap,7,2010-09-30,0.00402607365876229
per,debt_issuance,monthly,vw_cap,7,2010-10-31,0.0167043506824687
per,debt_issuance,monthly,vw_cap,7,2010-11-30,0.0242626905107433
per,debt_issuance,monthly,vw_cap,7,2010-12-31,0.046465064953608
per,debt_issuance,monthly,vw_cap,7,2011-01-31,0.00124696325228623
per,debt_issuance,monthly,vw_cap,7,2011-02-28,0.0315116831518388
per,debt_issuance,monthly,vw_cap,7,2011-03-31,-0.0222554696557631
per,debt_issuance,monthly,vw_cap,7,2011-04-30,-0.0142002537043209
per,debt_issuance,monthly,vw_cap,7,2011-05-31,0.0165802018082671
per,debt_issuance,monthly,vw_cap,7,2011-06-30,0.0135368311840298
per,debt_issuance,monthly,vw_cap,7,2011-07-31,0.0259449985377985
per,debt_issuance,monthly,vw_cap,7,2011-08-31,-0.0393113397319896
per,debt_issuance,monthly,vw_cap,7,2011-09-30,0.0103580051469922
per,debt_issuance,monthly,vw_cap,7,2011-10-31,-0.0210944142751718
per,debt_issuance,monthly,vw_cap,7,2011-11-30,0.0129913023069888
per,debt_issuance,monthly,vw_cap,7,2011-12-31,0.00684181817012081
per,debt_issuance,monthly,vw_cap,7,2012-01-31,0.000723843557639379
per,debt_issuance,monthly,vw_cap,7,2012-02-29,-0.00738808479425081
per,debt_issuance,monthly,vw_cap,7,2012-03-31,-0.0193587824348983
per,debt_issuance,monthly,vw_cap,7,2012-04-30,-0.00227502209320238
per,debt_issuance,monthly,vw_cap,7,2012-05-31,-0.00145986122998664
per,debt_issuance,monthly,vw_cap,7,2012-06-30,0.0113065563974655
per,debt_issuance,monthly,vw_cap,7,2012-07-31,0.015726527308481
per,debt_issuance,monthly,vw_cap,7,2012-08-31,0.006508826212354
per,debt_issuance,monthly,vw_cap,7,2012-09-30,-0.00461614290812014
per,debt_issuance,monthly,vw_cap,7,2012-10-31,-0.00168330216873371
per,debt_issuance,monthly,vw_cap,7,2012-11-30,-0.0158367689251996
per,debt_issuance,monthly,vw_cap,7,2012-12-31,0.0228674642877944
per,debt_issuance,monthly,vw_cap,7,2013-01-31,-0.02400982709387
per,debt_issuance,monthly,vw_cap,7,2013-02-28,-0.0268348664345212
per,debt_issuance,monthly,vw_cap,7,2013-03-31,-0.0249230637671195
per,debt_issuance,monthly,vw_cap,7,2013-04-30,-0.021442498234566
per,debt_issuance,monthly,vw_cap,7,2013-05-31,0.0232154146332052
per,debt_issuance,monthly,vw_cap,7,2013-06-30,0.0159272138151788
per,debt_issuance,monthly,vw_cap,7,2013-07-31,0.0343755927274123
