location,name,freq,weighting,direction,n_stocks,n_stocks_min,date,ret
per,mkt,monthly,vw_cap,na,64,na,2013-04-30,-0.084527677
per,mkt,monthly,vw_cap,na,63,na,2013-05-31,-0.053655538
per,mkt,monthly,vw_cap,na,63,na,2013-06-30,-0.047521956
per,mkt,monthly,vw_cap,na,57,na,2013-07-31,-0.049988431
per,mkt,monthly,vw_cap,na,59,na,2013-08-31,0.0267965142
per,mkt,monthly,vw_cap,na,65,na,2013-09-30,-0.012555913
per,mkt,monthly,vw_cap,na,62,na,2013-10-31,0.0435255795
per,mkt,monthly,vw_cap,na,63,na,2013-11-30,-0.075344698
per,mkt,monthly,vw_cap,na,64,na,2013-12-31,0.0435521572
per,mkt,monthly,vw_cap,na,61,na,2014-01-31,-0.023267687
per,mkt,monthly,vw_cap,na,55,na,2014-02-28,0.0102898956
per,mkt,monthly,vw_cap,na,59,na,2014-03-31,-0.041621368
per,mkt,monthly,vw_cap,na,67,na,2014-04-30,0.0791941816
per,mkt,monthly,vw_cap,na,68,na,2014-05-31,0.0203496543
per,mkt,monthly,vw_cap,na,70,na,2014-06-30,0.0057955169
per,mkt,monthly,vw_cap,na,68,na,2014-07-31,0.0238535923
per,mkt,monthly,vw_cap,na,65,na,2014-08-31,-0.004535526
per,mkt,monthly,vw_cap,na,60,na,2014-09-30,-0.018543068
per,mkt,monthly,vw_cap,na,62,na,2014-10-31,-0.010532857
per,mkt,monthly,vw_cap,na,65,na,2014-11-30,0.0096185077
per,mkt,monthly,vw_cap,na,65,na,2014-12-31,-0.006385935
per,mkt,monthly,vw_cap,na,63,na,2015-01-31,-0.050139905
per,mkt,monthly,vw_cap,na,56,na,2015-02-28,-0.034302484
per,mkt,monthly,vw_cap,na,54,na,2015-03-31,-0.013005136
per,mkt,monthly,vw_cap,na,53,na,2015-04-30,0.0336728037
per,mkt,monthly,vw_cap,na,61,na,2015-05-31,-0.006492833
per,mkt,monthly,vw_cap,na,61,na,2015-06-30,-0.016320774
per,mkt,monthly,vw_cap,na,64,na,2015-07-31,-0.051492638
per,mkt,monthly,vw_cap,na,62,na,2015-08-31,-0.151264338
per,mkt,monthly,vw_cap,na,64,na,2015-09-30,-0.026324252
per,mkt,monthly,vw_cap,na,55,na,2015-10-31,0.029794071
per,mkt,monthly,vw_cap,na,51,na,2015-11-30,-0.02682985
per,mkt,monthly,vw_cap,na,54,na,2015-12-31,-0.058857991
per,mkt,monthly,vw_cap,na,52,na,2016-01-31,-0.062151891
per,mkt,monthly,vw_cap,na,55,na,2016-02-29,0.1491402691
per,mkt,monthly,vw_cap,na,66,na,2016-03-31,0.1507357887
per,mkt,monthly,vw_cap,na,69,na,2016-04-30,0.1119700854
per,mkt,monthly,vw_cap,na,71,na,2016-05-31,0.0071404659
per,mkt,monthly,vw_cap,na,70,na,2016-06-30,0.0103367258
per,mkt,monthly,vw_cap,na,72,na,2016-07-31,0.0785316821
per,mkt,monthly,vw_cap,na,75,na,2016-08-31,0.0026421198
per,mkt,monthly,vw_cap,na,76,na,2016-09-30,-0.007958048
per,mkt,monthly,vw_cap,na,76,na,2016-10-31,-0.016303671
per,mkt,monthly,vw_cap,na,75,na,2016-11-30,0.0075215766
per,mkt,monthly,vw_cap,na,76,na,2016-12-31,0.0375638298
per,mkt,monthly,vw_cap,na,75,na,2017-01-31,0.0584866271
per,mkt,monthly,vw_cap,na,79,na,2017-02-28,0.02159564
per,mkt,monthly,vw_cap,na,81,na,2017-03-31,-0.007589092
per,mkt,monthly,vw_cap,na,79,na,2017-04-30,-0.005668082
per,mkt,monthly,vw_cap,na,79,na,2017-05-31,0.02373051
per,mkt,monthly,vw_cap,na,80,na,2017-06-30,0.0155780284
per,mkt,monthly,vw_cap,na,78,na,2017-07-31,0.014732055
per,mkt,monthly,vw_cap,na,81,na,2017-08-31,0.0396542887
per,mkt,monthly,vw_cap,na,84,na,2017-09-30,0.0333348076
per,mkt,monthly,vw_cap,na,83,na,2017-10-31,0.0572071191
per,mkt,monthly,vw_cap,na,84,na,2017-11-30,0.011021678
per,mkt,monthly,vw_cap,na,81,na,2017-12-31,-0.012612698
per,mkt,monthly,vw_cap,na,86,na,2018-01-31,0.0532513
per,mkt,monthly,vw_cap,na,76,na,2018-02-28,-0.027261398
per,mkt,monthly,vw_cap,na,71,na,2018-03-31,0.0089668473
