location,name,freq,weighting,direction,n_stocks,n_stocks_min,date,ret
per,age,monthly,vw_cap,-1,105,19,2024-06-30,0.587454317607709
per,age,monthly,vw_cap,-1,105,19,2024-07-31,-0.0108466029378926
per,age,monthly,vw_cap,-1,103,19,2024-08-31,0.00545689475518042
per,age,monthly,vw_cap,-1,103,19,2024-09-30,-0.0274065545387892
per,age,monthly,vw_cap,-1,103,19,2024-10-31,0.05283442175706
per,age,monthly,vw_cap,-1,103,19,2024-11-30,0.00612319714428604
per,age,monthly,vw_cap,-1,103,19,2024-12-31,-0.139916478439977
per,aliq_at,monthly,vw_cap,-1,28,14,2007-03-31,-0.00646390588658297
per,aliq_at,monthly,vw_cap,-1,28,14,2007-04-30,-0.0191811775869068
per,aliq_at,monthly,vw_cap,-1,30,12,2007-05-31,0.0480219979733427
per,aliq_at,monthly,vw_cap,-1,32,13,2007-06-30,-0.078518572035281
per,aliq_at,monthly,vw_cap,-1,32,14,2007-07-31,-0.0397215674020931
per,aliq_at,monthly,vw_cap,-1,31,14,2007-08-31,0.0585308461948215
per,aliq_at,monthly,vw_cap,-1,31,15,2007-09-30,-0.0814475647469343
per,aliq_at,monthly,vw_cap,-1,30,15,2007-10-31,-0.0673836749124846
per,aliq_at,monthly,vw_cap,-1,33,12,2007-11-30,0.146811964544162
per,aliq_at,monthly,vw_cap,-1,32,12,2007-12-31,0.187118342705797
per,aliq_at,monthly,vw_cap,-1,32,12,2008-01-31,-0.0542745935467779
per,aliq_at,monthly,vw_cap,-1,35,12,2008-02-29,-0.113660387072302
per,aliq_at,monthly,vw_cap,-1,38,15,2008-03-31,0.0165990331292977
per,aliq_at,monthly,vw_cap,-1,37,15,2008-04-30,-0.0503888932249354
per,aliq_at,monthly,vw_cap,-1,33,12,2008-05-31,-0.0178271179696928
per,aliq_at,monthly,vw_cap,-1,33,12,2008-06-30,-0.0748194724694934
per,aliq_at,monthly,vw_cap,-1,32,13,2008-07-31,-0.023207107665151
per,aliq_at,monthly,vw_cap,-1,28,13,2008-08-31,0.0551642692855725
per,aliq_at,monthly,vw_cap,-1,33,13,2008-09-30,0.0538424472192225
per,aliq_at,monthly,vw_cap,-1,38,12,2008-10-31,0.149863497023618
per,aliq_at,monthly,vw_cap,-1,30,13,2008-11-30,0.00392126661720235
per,aliq_at,monthly,vw_cap,-1,29,12,2008-12-31,-0.160446748877238
per,aliq_at,monthly,vw_cap,-1,27,11,2009-01-31,0.0371437471092092
per,aliq_at,monthly,vw_cap,-1,27,13,2009-02-28,0.0312498272143917
per,aliq_at,monthly,vw_cap,-1,27,13,2009-03-31,0.0431370948977136
per,aliq_at,monthly,vw_cap,-1,22,10,2009-04-30,0.0793692854834037
per,aliq_at,monthly,vw_cap,-1,26,11,2009-05-31,-0.0954354061766526
per,aliq_at,monthly,vw_cap,-1,27,11,2009-06-30,0.028527003405767
per,aliq_at,monthly,vw_cap,-1,25,11,2009-07-31,-0.131063950512728
per,aliq_at,monthly,vw_cap,-1,26,12,2009-08-31,0.0599041555068303
per,aliq_at,monthly,vw_cap,-1,29,14,2009-09-30,-0.187946483046654
per,aliq_at,monthly,vw_cap,-1,27,12,2009-10-31,0.180821186278514
per,aliq_at,monthly,vw_cap,-1,37,15,2009-11-30,-0.079044989367786
per,aliq_at,monthly,vw_cap,-1,37,12,2009-12-31,0.169872667135933
per,aliq_at,monthly,vw_cap,-1,40,15,2010-01-31,0.035363163524592
per,aliq_at,monthly,vw_cap,-1,33,12,2010-02-28,-0.0265127699132088
per,aliq_at,monthly,vw_cap,-1,31,15,2010-03-31,0.0276718283844937
per,aliq_at,monthly,vw_cap,-1,31,15,2010-04-30,0.00347291292497139
per,aliq_at,monthly,vw_cap,-1,29,14,2010-05-31,-0.145714110107888
per,aliq_at,monthly,vw_cap,-1,28,13,2010-06-30,-0.130296212634316
per,aliq_at,monthly,vw_cap,-1,27,13,2010-07-31,0.025867649872534
per,aliq_at,monthly,vw_cap,-1,29,13,2010-08-31,-0.00443696447949795
per,aliq_at,monthly,vw_cap,-1,29,14,2010-09-30,-0.0236776594461558
per,aliq_at,monthly,vw_cap,-1,31,15,2010-10-31,-0.119318362630104
per,aliq_at,monthly,vw_cap,-1,33,16,2010-11-30,-0.123334510790006
per,aliq_at,monthly,vw_cap,-1,33,16,2010-12-31,-0.122056905440736
per,aliq_at,monthly,vw_cap,-1,32,15,2011-01-31,0.015600709116734
per,aliq_at,monthly,vw_cap,-1,35,17,2011-02-28,-0.0173106394087115
per,aliq_at,monthly,vw_cap,-1,36,17,2011-03-31,0.0313552450309714
per,aliq_at,monthly,vw_cap,-1,33,16,2011-04-30,-0.0124519740510087
per,aliq_at,monthly,vw_cap,-1,30,13,2011-05-31,0.0504629171586591
per,aliq_at,monthly,vw_cap,-1,31,13,2011-06-30,0.0733904456221308
per,aliq_at,monthly,vw_cap,-1,30,13,2011-07-31,-0.11657001183124
per,aliq_at,monthly,vw_cap,-1,33,15,2011-08-31,-0.0512489968148286
per,aliq_at,monthly,vw_cap,-1,32,14,2011-09-30,0.115608497175502
per,aliq_at,monthly,vw_cap,-1,25,11,2011-10-31,-0.0314397464424353
per,aliq_at,monthly,vw_cap,-1,31,15,2011-11-30,0.0653412585648897
per,aliq_at,monthly,vw_cap,-1,33,15,2011-12-31,-0.0136988268557417
per,aliq_at,monthly,vw_cap,-1,34,16,2012-01-31,-0.0279944930017608
per,aliq_at,monthly,vw_cap,-1,34,16,2012-02-29,-0.00411904128998363
per,aliq_at,monthly,vw_cap,-1,42,16,2012-03-31,-0.00886819377461708
per,aliq_at,monthly,vw_cap,-1,31,15,2012-04-30,0.0344912887192185
per,aliq_at,monthly,vw_cap,-1,46,17,2012-05-31,0.0247033250432294
per,aliq_at,monthly,vw_cap,-1,41,16,2012-06-30,0.0247794102351539
per,aliq_at,monthly,vw_cap,-1,41,16,2012-07-31,0.0239075005305046
per,aliq_at,monthly,vw_cap,-1,39,17,2012-08-31,0.042347963161279
per,aliq_at,monthly,vw_cap,-1,44,19,2012-09-30,-0.0656243745900306
per,aliq_at,monthly,vw_cap,-1,41,18,2012-10-31,0.00231564593255316
